Docente,Categoria,Programa,Idlattes
Maria Aparecida Godoy Soler Pajanian,Permanente,Física,1034449975741992
Maria Aparecida Godoy Soler Pajanian,Permanente,Nanociência e Nanobiotecnologia,1034449975741992
Luciano Mendes Bezerra,Permanente,Estruturas e Construção Civil,1036591688457986
Andre Borges de Carvalho,Permanente,Ciência Política,1051763855783856
Mariney Pereira Conceicao,Colaborador,Lingüística,1052834887633668
Soraya Ferreira Alves,Permanente,Estudos de Tradução,1072912681598230
Virginia Tiradentes Souto,Permanente,Artes,1113356615802141
Virginia Tiradentes Souto,Permanente,Design,1113356615802141
Marisa Cobbe Maass,Permanente,Design,1114384517661428
Jorge do Nascimento Faber,Permanente,Odontologia,1117706935965815
Lucieth Cruz Vieira,Permanente,Geologia,1125986627827570
Sabine Gorovitz,Permanente,Estudos de Tradução,1128682155965179
Iruena Moraes Kessler,Permanente,Ciencias Medicas,1129017069189929
Francisco Javier Contreras Pineda,Colaborador,Tecnologia Ambiental e Recursos Hídricos,1134301014530617
Antonio Jose Camillo de Aguiar,Permanente,Zoologia,1139463764958112
Adson Ferreira da Rocha,Permanente,Ciencias Medicas,1141716826787805
Adson Ferreira da Rocha,Permanente,Engenharia Biomédica,1141716826787805
Adson Ferreira da Rocha,Permanente,Engenharia de Sistemas Eletrônicos e de Automação,1141716826787805
Mani Indiana Funez,Permanente,Ciências e Tecnologias Em Saúde,1148794578246057
Suelia de Siqueira Rodrigues,Permanente,Engenharia Biomédica,1154673226500318
Antonio Augusto Souza Mello,Colaborador,Lingüística,1154852591738544
Christus Menezes da Nobrega,Permanente,Artes,1158798915256133
Christus Menezes da Nobrega,Permanente,Design,1158798915256133
Livia de Lacerda de Oliveira Pineli,Permanente,Nutrição Humana,1163028109231540
Neio Lucio de Oliveira Campos,Colaborador,Geografia,1175332440156178
Neio Lucio de Oliveira Campos,Permanente,Turismo,1175332440156178
Maristela Rossato,Permanente,Processos de Desenvolvimento Humano e Saúde,1176973969163606
Rodrigo Rezende Ferreira,Permanente,Administração,1180391222549432
Maria Sueli Soares Felipe,Permanente,Ciências Biológicas,1190292525097613
Maria Sueli Soares Felipe,Colaborador,Patologia Molecular,1190292525097613
Maria Sueli Soares Felipe,Colaborador,Saúde Coletiva,1190292525097613
Maria Sueli Soares Felipe,Colaborador,Tecnologias Química e Biológica,1190292525097613
Reinaldo Crispiniano Garcia,Permanente,Transportes,1193145495367613
Edgard Costa Oliveira,Permanente,Computação Aplicada,1196380808351119
Francisco Evangelista Junior,Permanente,Estruturas e Construção Civil,1213553571707025
Nadia Skorupa Parachin,Colaborador,Ciências Biológicas,1214716137780644
Nadia Skorupa Parachin,Permanente,Tecnologias Química e Biológica,1214716137780644
Eduardo Pierrotti Rossetti,Permanente,Arquitetura e Urbanismo,1218180830143253
Marcia Reis Machado,Permanente,Contabilidade - Unb - Ufpb - Ufrn,1222647729134493
Roseline Beatriz Strieder,Permanente,Educação Em Ciências,1223062864841966
Roseline Beatriz Strieder,Permanente,Ensino de Ciências,1223062864841966
Roseline Beatriz Strieder,Permanente,Ensino de Física - Profis,1223062864841966
Luiz Alberto Simeoni,Permanente,Ciências da Saúde,1223548516474091
Luiz Alberto Simeoni,Permanente,Ciências Farmacêuticas,1223548516474091
Clovis Zapata,Permanente,Economia,1233324338075169
Suzi Maria de Cordova Huff Theodoro,Permanente,Meio Ambiente e Desenvolvimento Rural,1244580166027916
Jose Alves Dias,Permanente,Química,1255270110503523
Michelangelo Giotto Santoro Trigueiro,Permanente,Sociologia,1268835752497544
Marly Eiko Osugi,Colaborador,Química,1269694051954641
Carlos Andre Ornelas Ricart,Permanente,Ciências Biológicas,1271167329803156
Carlos Andre Ornelas Ricart,Permanente,Patologia Molecular,1271167329803156
Ana Tereza Reis da Silva,Permanente,Desenvolvimento Sustentável,1290786927670370
Ana Tereza Reis da Silva,Permanente,Educação,1290786927670370
Beatriz Duarte Pereira de Magalhaes Castro,Permanente,Música,1300185668660798
Ormezinda Maria Ribeiro,Permanente,Educação,1303707962390972
Ormezinda Maria Ribeiro,Colaborador,Lingüística,1303707962390972
Gerson Oliveira Penna,Permanente,Medicina Tropical,1312385303946378
Thiago Oliveira Rodrigues,Visitante,Ciências Florestais,1312518668807552
Julio Cesar Neves Monteiro,Permanente,Estudos de Tradução,1316801774852650
Nivalda Assuncao de Araujo,Permanente,Artes,1324439742747081
Ademir Eugenio de Santana,Permanente,Ensino de Física - Profis,1333463989733482
Ademir Eugenio de Santana,Permanente,Física,1333463989733482
Silvia Claudia Loureiro Dias,Permanente,Química,1333492927266447
Magali Barcante Alvarenga,Colaborador,Lingüística Aplicada,1338327810450472
Fernando Pacheco Rodrigues,Colaborador,Biotecnologia e Biodiversidade - Rede Pró-Centro-Oeste,1351286774058975
Ricardo Gauche,Permanente,Educação Em Ciências,1360277789257857
Ricardo Gauche,Permanente,Ensino de Ciências,1360277789257857
Ivo Pivato,Permanente,Ciências Animais,1369919992786236
Carlos Roberto Spehar,Colaborador,Agronomia,1377231146497584
Edson Marcelo Hungaro,Permanente,Educação Física,1385612484699042
Vinicius de Carvalho Rispoli,Permanente,Matemática Em Rede Nacional,1386396456867682
Pedro Carlos Resende Junior,Permanente,Administração,1397894116022014
Andre Caldas de Souza,Permanente,Matemática,1403013071753287
Marcelo de Oliveira Torres,Colaborador,Economia,1409988766720315
Jurandir Rodrigues de Souza,Permanente,Ciências Ambientais,1412260545035778
Jurandir Rodrigues de Souza,Permanente,Química,1412260545035778
Jurandir Rodrigues de Souza,Colaborador,Tecnologias Química e Biológica,1412260545035778
Fatima Aparecida Dos Santos,Permanente,Artes,1414472867163536
Fatima Aparecida Dos Santos,Permanente,Design,1414472867163536
Jose Francisco Goncalves Junior,Permanente,Ciências Ambientais,1415005734830737
Jose Francisco Goncalves Junior,Permanente,Ecologia,1415005734830737
Janaina Soares Alves,Permanente,Lingüística Aplicada,1417501684666047
Ana Carla Bittencourt Reis,Permanente,Computação Aplicada,1426705391903947
Graziella Anselmo Joanitti,Permanente,Ciências e Tecnologias Em Saúde,1434775469286578
Graziella Anselmo Joanitti,Permanente,Nanociência e Nanobiotecnologia,1434775469286578
Ligia Pavan Baptista,Colaborador,Filosofia,1447623724695372
Izabela Marques Dourado Bastos,Colaborador,Ciências Biológicas,1447975141452855
Izabela Marques Dourado Bastos,Permanente,Ciências e Tecnologias Em Saúde,1447975141452855
Izabela Marques Dourado Bastos,Permanente,Patologia Molecular,1447975141452855
Christiane Girard Ferreira Nunes,Permanente,Sociologia,1449325387951939
Vania Isabel Carvalho Pinto,Permanente,Relações Internacionais,1450530393819869
Moema da Silva Borges,Permanente,Enfermagem,1455097004262896
Rosana Tidon,Permanente,Ecologia,1456657421809884
Diana Vaz de Lima,Permanente,Ciências Contábeis,1458221915017406
Heloisa Sinatora Miranda,Permanente,Ecologia,1471680850807854
Mozart Fazito Rezende Filho,Permanente,Turismo,1500119299281914
Fabiana Pirani Carneiro,Permanente,Ciências da Saúde,1507261135236251
Fabiana Pirani Carneiro,Permanente,Ciencias Medicas,1507261135236251
Andre Luis Brasil Cavalcante,Permanente,Geotecnia,1515779118499986
Paulo Cesar Marques da Silva,Permanente,Transportes,1518119916915399
Anderson de Rezende Rocha,Colaborador,Engenharia Elétrica,1521815731111261
Marcus Vinicius Chaffim Costa,Permanente,Engenharia Biomédica,1524924375222848
Eliana Rigotto Lazzarini,Permanente,Psicologia Clínica e Cultura,1530730760074951
Ana Paula Dias Ribeiro,Permanente,Ciências da Saúde,1531215699841687
Ana Paula Dias Ribeiro,Permanente,Odontologia,1531215699841687
Marcia Elenita Franca Niederauer,Colaborador,Lingüística,1534966686140616
Alexandre Araujo Costa,Colaborador,Ciência Política,1540773562032795
Alexandre Araujo Costa,Permanente,Direito,1540773562032795
Denise de Souza Fleith,Permanente,Processos de Desenvolvimento Humano e Saúde,1547796890753678
Gabriela Neves Delgado,Permanente,Direito,1551226169981813
Juliano Alexandre Chaker,Permanente,Ciências e Tecnologias Em Saúde,1552453739678173
Eric Pierre Sabourin,Permanente,Desenvolvimento Sustentável,1561460170110627
Eric Pierre Sabourin,Permanente,Meio Ambiente e Desenvolvimento Rural,1561460170110627
Aleteia Patricia Favacho de Araujo,Permanente,Computação Aplicada,1566076687226024
Aleteia Patricia Favacho de Araujo,Permanente,Informática,1566076687226024
Agnaldo Cuoco Portugal,Permanente,Filosofia,1568859502052989
Doriana Daroit,Permanente,Desenvolvimento Sociedade e Cooperação Internacional,1573245173639222
Anesio de Leles Ferreira Filho,Permanente,Engenharia Elétrica,1573568521807396
Leonor Maria Pacheco Santos,Permanente,Nutrição Humana,1574896593712348
Leonor Maria Pacheco Santos,Permanente,Saúde Coletiva,1574896593712348
Joaquim Jose Soares Neto,Permanente,Desenvolvimento Sociedade e Cooperação Internacional,1594664312846964
Joaquim Jose Soares Neto,Colaborador,Ensino de Física - Profis,1594664312846964
Pavel Shumyatsky,Permanente,Matemática,1595437290326266
Ximena Pamela Claudia Diaz Bermudez,Permanente,Saúde Coletiva,1598351909460233
Renato Caparroz,Permanente,Biologia Animal,1612292306950738
Viktor Dodonov,Permanente,Física,1619457118609875
Marcelo Menezes de Carvalho,Colaborador,Engenharia de Sistemas Eletrônicos e de Automação,1641340120936086
Carmem Jena Machado Caetano,Permanente,Lingüística,1651133808442293
Monica Giannoccaro Von Huelsen,Permanente,Geociências Aplicadas e Geodinâmica,1653761563295281
Monica Giannoccaro Von Huelsen,Colaborador,Geologia,1653761563295281
Helvio Frank de Oliveira,Colaborador,Lingüística Aplicada,1659880507093036
Yovanka Perez Ginoris,Permanente,Tecnologia Ambiental e Recursos Hídricos,1665096241640110
Alberto Jose Alvares,Permanente,Sistemas Mecatrônicos,1670758318835776
Alexandre Fernandes Batista Costa Leite,Permanente,Filosofia,1675265519515703
Cristiano Barros de Melo,Permanente,Ciências Animais,1686704472655874
Leonardo Giordano Paterno,Permanente,Química,1705430650855494
Leonardo Giordano Paterno,Permanente,Tecnologias Química e Biológica,1705430650855494
Antonio Felipe Couto Junior,Permanente,Ciências Ambientais,1734066833756535
Flavio Santos Pereira,Permanente,Música,1736742525721804
Claudia Estrela Porto,Permanente,Arquitetura e Urbanismo,1740856393308920
Luiz Honorato da Silva Junior,Permanente,Gestão Pública,1741285388725128
Josemberg Moura de Andrade,Permanente,Psicologia Social do Trabalho e das Organizações,1760765397044137
Ana Elisabete de Almeida Medeiros,Permanente,Arquitetura e Urbanismo,1766107518538219
Airton Lisle Cerqueira Leite Seelaender,Permanente,Direito,1766844222104094
Carlos Jose Souza de Alvarenga,Permanente,Geologia,1777209584898672
Raquel Maria de Melo,Permanente,Ciências do Comportamento,1782035958597931
Joao Paulo Carvalho Lustosa Costa,Permanente,Engenharia Elétrica,1786889674911887
Joao Paulo Carvalho Lustosa Costa,Permanente,Sistemas Mecatrônicos,1786889674911887
Guilherme Scotti Rodrigues,Permanente,Direito,1794674025301313
Elane Ribeiro Peixoto,Permanente,Arquitetura e Urbanismo,1796841203235489
Maria Izabel Raso Tafuri,Permanente,Psicologia Clínica e Cultura,1800526443482870
Lucilia de Almeida Neves Delgado,Colaborador,Direitos Humanos e Cidadania,1801643740560472
Paulo Petronilio Correia,Permanente,Artes Cênicas,1801687030702050
Helson Mario Martins do Vale,Permanente,Biologia Microbiana,1801689011454385
Helson Mario Martins do Vale,Colaborador,Fitopatologia,1801689011454385
George Sand Leao Araujo de Franca,Permanente,Geociências Aplicadas e Geodinâmica,1804846635564396
George Sand Leao Araujo de Franca,Permanente,Geologia,1804846635564396
Dibio Leandro Borges,Permanente,Engenharia Elétrica,1808368824068028
Dibio Leandro Borges,Permanente,Sistemas Mecatrônicos,1808368824068028
Albertina Mitjans Martinez,Permanente,Educação,1808703911572925
Christiane Inocencio Vasques,Permanente,Enfermagem,1822762482207117
Carlos Rosano Pena,Permanente,Agronegócios,1826385347889066
Muna Muhammad Odeh,Colaborador,Saúde Coletiva,1829695481288524
Marcelo da Costa Pinto Neves,Permanente,Direito,1840609836260977
Joao Henrique Pederiva,Permanente,Administração,1842885329278546
Jorge Madeira Nogueira,Permanente,Economia,1869009681242978
